File Path,Stage,Purpose,Input Files,Output Files,External Dependencies,Runtime Dependency,Safe to Delete,Required for Full Pipeline,Required for Postgres,Required for Live API
temp.py,UNKNOWN,Utility / Support,Data / API,Data / DB,None,False,True,False,False,False
app/api/main.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/api/routes.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/api/search_routes.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/api/v1/debug_routes.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/api/v1/hotel_routes.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/api/v1/recommend_routes.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/api/v1/search_routes.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/api/v1/system_routes.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/config/config.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/domain/models.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/repositories/base.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/repositories/db_schema.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
app/repositories/embedding_repository.py,RUNTIME_BACKEND,"FastAPI backend, service layer, PostgreSQL repositories",Data / API,Data / DB,None,True,False,False,True,True
