review_id,hotel_id,google_place_id,hotel_name,review_text,review_rating,review_date,review_source,positive_probability,negative_probability,sentiment_label
516ebf3f-b6da-40e8-a0a3-d6f75ca96d45,ChIJpV-ywbQVDTkRqWm6FgM6WCM,ChIJpV-ywbQVDTkRqWm6FgM6WCM,Haveli Hotel & Family Restaurant,Overall Good Experience Rooms Are to good but food is so low quality service is so so,3.0,2026-01-08 10:41:48,Google Places API,0.023738013580441475,0.9762619733810425,NEGATIVE
f4ecb279-74cd-44d8-bfe4-08aded5953a7,ChIJpV-ywbQVDTkRqWm6FgM6WCM,ChIJpV-ywbQVDTkRqWm6FgM6WCM,Haveli Hotel & Family Restaurant,Flawless stay and good environment with spacious rooms,5.0,2025-12-01 08:56:28,Google Places API,0.9998857975006104,0.00011416984489187598,POSITIVE
b58d15f5-e90e-41c9-a62f-00d285dd9843,ChIJpV-ywbQVDTkRqWm6FgM6WCM,ChIJpV-ywbQVDTkRqWm6FgM6WCM,Haveli Hotel & Family Restaurant,Delicious food and great value. The service was efficient and friendly. Perfect for a casual dinner with friends.,4.0,2025-01-29 14:36:37,Google Places API,0.999887228012085,0.00011271963740000501,POSITIVE
e0b4a53c-aab3-451e-950f-a80775b63b22,ChIJpV-ywbQVDTkRqWm6FgM6WCM,ChIJpV-ywbQVDTkRqWm6FgM6WCM,Haveli Hotel & Family Restaurant,Nice for all.service is so good.,4.0,2025-10-12 05:34:59,Google Places API,0.99986732006073,0.00013267708709463477,POSITIVE
80d2499c-817c-4efe-a957-5499e52dd8e4,ChIJpV-ywbQVDTkRqWm6FgM6WCM,ChIJpV-ywbQVDTkRqWm6FgM6WCM,Haveli Hotel & Family Restaurant,No hot water also no cold water available bad experience in stay hotel haveli . Bad room service .,1.0,2025-07-10 04:15:33,Google Places API,0.010926083661615849,0.9890739321708679,NEGATIVE
25f5370d-0ecc-4df6-8433-0157cb558dda,ChIJm053GEI-DTkRwKJuNdfAyLw,ChIJm053GEI-DTkRwKJuNdfAyLw,Jps Residency & Hospitality Services,"I stayed last night. Bathroom dirty, shower now working so use a dirty bucket and dirty mug, drainage choaked. Room dirty, mattress too hard, chairs had so many stains, you can not sit on it. Overall it was worst experience.",1.0,2025-12-25 10:17:28,Google Places API,0.0002642081235535443,0.9997357726097107,NEGATIVE
fec1523c-8839-4070-a2e0-48f93fa41328,ChIJm053GEI-DTkRwKJuNdfAyLw,ChIJm053GEI-DTkRwKJuNdfAyLw,Jps Residency & Hospitality Services,Rasist attitude towards foreign guest.Do not recommend at all. On WhatsApp they said rooms are available and on site they denied without any concrete reason on seeing my passport. Taxi left me and went away .i got to search for other hotel at night by myself.Very unprofessional. FREE ADVISE FROM ME *PLEASE TEACH YOUR STAFF SOME* MANNERS.,1.0,2025-10-27 05:44:46,Google Places API,0.0032040560618042946,0.9967959523200989,NEGATIVE
24317b8f-ad5d-43c4-931f-3b0abbc6e4b2,ChIJm053GEI-DTkRwKJuNdfAyLw,ChIJm053GEI-DTkRwKJuNdfAyLw,Jps Residency & Hospitality Services,"Booked for 2 days for wedding... receptionist was very polite and very helpful .Room service was also good and food was healthy and tasty. All decoration asked was fulfilled and very beautiful,done on time as well Overall must say..good property and good environment and away from crowd & pollution...huge space with pool and lawn.",5.0,2025-08-01 09:44:50,Google Places API,0.9998639822006226,0.0001359853777103126,POSITIVE
4beeda81-cb3d-4c7d-b400-df99e5a63a06,ChIJm053GEI-DTkRwKJuNdfAyLw,ChIJm053GEI-DTkRwKJuNdfAyLw,Jps Residency & Hospitality Services,Excellent stay with reachable area ..best resort in manesar highly recommend... thank you jps..,5.0,2025-11-28 06:14:12,Google Places API,0.9998581409454346,0.00014181523874867707,POSITIVE
b58e8a18-86d5-4e81-a4f3-4b24830e87d6,ChIJm053GEI-DTkRwKJuNdfAyLw,ChIJm053GEI-DTkRwKJuNdfAyLw,Jps Residency & Hospitality Services,JPS Residency Manesar. It's a good place to spend time in peace. Far away from crowd and traffic. Called this a average. Rooms need to improve regarding hygeine and facilities. This place is mostly booked for corporate offsite. Economic pricing with average all necessity.,3.0,2025-04-25 14:11:45,Google Places API,0.9970424771308899,0.002957508899271488,POSITIVE
